record_type,timestamp_us,sample_index,emg_timer_gap,imu_sample_index,imu_timer_gap,ads_raw,ads_voltage,ac_voltage,envelope_raw,envelope_voltage,adaptive_on_voltage,adaptive_off_voltage,fixed_on_voltage,fixed_off_voltage,detector_state,leads,lo_minus,lo_plus,motion,fixed_active,adaptive_active,fixed_event,adaptive_event,fixed_release,adaptive_release,ax,ay,az,gx,gy,gz,phase,repetition,intensity,on_coefficient,off_coefficient,motion_gyro_dps,motion_accel_delta_g
emg,5295340851,4551341,1,,,12832,1.604,-0.031204283886093087,250.67611694335938,0.031334514617919924,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5295445527,4551431,1,,,12835,1.604375,-0.030680863580760942,212.79837036132812,0.026599796295166015,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5295550481,4551521,1,,,13314,1.66425,0.028285027986780564,207.45944213867188,0.025932430267333984,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5295654864,4551611,1,,,13162,1.64525,0.008749737614901942,243.72946166992188,0.030466182708740235,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,5295770564,,,529364,1,,,,,,,,,,,,,,,,,,,,,-0.32373046875,-0.4576416015625,0.7410888671875,0.030534351145038167,-0.25190839694656486,0.015267175572519083,,,,6.0,3.0,20.0,0.25
imu,5295810428,,,529368,1,,,,,,,,,,,,,,,,,,,,,-0.325439453125,-0.4564208984375,0.7467041015625,0.022900763358778626,0.22137404580152673,0.007633587786259542,,,,6.0,3.0,20.0,0.25
emg,5295969430,4551881,1,,,13265,1.658125,0.02283158282863429,159.94483947753906,0.019993104934692384,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296061944,4551961,1,,,12954,1.61925,-0.016048781635345843,160.95352172851562,0.020119190216064453,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296166581,4552051,1,,,13209,1.651125,0.016725863116725748,219.32473754882812,0.027415592193603518,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296271251,4552141,1,,,13009,1.626125,-0.0069617898882616824,172.9967498779297,0.02162459373474121,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296376882,4552231,1,,,13076,1.6345,0.0020226793575064406,337.6479187011719,0.042205989837646486,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296480629,4552321,1,,,13272,1.659,0.02668154160677849,285.0267028808594,0.035628337860107426,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296585266,4552411,1,,,13050,1.63125,-0.0009961317013589266,146.99974060058594,0.01837496757507324,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296689931,4552501,1,,,13131,1.641375,0.01006930027895181,244.98245239257812,0.030622806549072266,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296794601,4552591,1,,,13344,1.668,0.036709978430686796,324.5041198730469,0.04056301498413086,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5296899844,4552681,1,,,12995,1.6243750000000001,-0.007326383226181843,161.80255126953125,0.020225318908691406,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297003942,4552771,1,,,13039,1.629875,-0.0024900691166225286,132.44561767578125,0.016555702209472656,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297108611,4552861,1,,,13195,1.649375,0.016397793004664152,457.9883117675781,0.05724853897094727,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297213274,4552951,1,,,13111,1.638875,0.0053198137315733085,313.6399841308594,0.03920499801635742,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297317949,4553041,1,,,13294,1.66175,0.02792668445700608,137.04881286621094,0.017131101608276366,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297423789,4553132,1,,,12859,1.607375,-0.027010128317687343,110.99674224853516,0.013874592781066895,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297528451,4553222,1,,,13084,1.6355,0.000598424140817011,109.3084716796875,0.013663558959960938,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297633126,4553312,1,,,13111,1.638875,0.0034725001992159665,228.78823852539062,0.028598529815673828,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297737789,4553402,1,,,13232,1.6540000000000001,0.018171191969534206,215.5618133544922,0.026945226669311526,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5297842464,4553492,1,,,13097,1.637125,0.0008336782216566974,348.26611328125,0.04353326416015625,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,5297890428,,,529576,1,,,,,,,,,,,,,,,,,,,,,-0.3233642578125,-0.4564208984375,0.7476806640625,0.015267175572519083,0.015267175572519083,0.007633587786259542,,,,6.0,3.0,20.0,0.25
emg,5298051801,4553672,1,,,13285,1.660625,0.0241251945699561,198.95216369628906,0.024869020462036134,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5298156474,4553762,1,,,13225,1.653125,0.01659332273583769,220.1495819091797,0.02751869773864746,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5298249520,4553842,1,,,13534,1.69175,0.055534020544730334,268.10723876953125,0.033513404846191405,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,5298370428,,,529624,1,,,,,,,,,,,,,,,,,,,,,-0.32275390625,-0.45654296875,0.7401123046875,-0.03816793893129771,-0.030534351145038167,0.007633587786259542,,,,6.0,3.0,20.0,0.25
imu,5298410430,,,529628,1,,,,,,,,,,,,,,,,,,,,,-0.3243408203125,-0.4564208984375,0.744384765625,-0.06870229007633588,0.0,-0.015267175572519083,,,,6.0,3.0,20.0,0.25
emg,5298575149,4554122,1,,,13064,1.633,-0.0014532072332649193,119.49281311035156,0.014936601638793946,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5298669370,4554203,1,,,13217,1.652125,0.017670172924137084,86.01396942138672,0.01075174617767334,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5298774202,4554293,1,,,13084,1.6355,0.0007940744060652705,217.3098602294922,0.027163732528686525,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5298878698,4554383,1,,,13013,1.626625,-0.007546046713032606,192.96853637695312,0.02412106704711914,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5298983364,4554473,1,,,12763,1.595375,-0.038824223579985606,205.81130981445312,0.025726413726806643,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299088043,4554563,1,,,12641,1.580125,-0.053662307988820324,253.7559814453125,0.031719497680664066,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299193268,4554653,1,,,13323,1.665375,0.031329150620348356,279.9487609863281,0.03499359512329102,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299297384,4554743,1,,,12875,1.609375,-0.024304030186172776,259.94427490234375,0.032493034362792966,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299402047,4554833,1,,,13119,1.639875,0.0057124997320536774,150.67440795898438,0.018834300994873047,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299506712,4554923,1,,,13142,1.64275,0.008290697041962503,126.23565673828125,0.015779457092285155,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299612225,4555013,1,,,12928,1.616,-0.018697520483251573,94.90707397460938,0.011863384246826172,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299716076,4555103,1,,,13072,1.6340000000000001,-0.000816350152580636,334.9608154296875,0.04187010192871094,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299820734,4555193,1,,,12742,1.59275,-0.041755069342144235,267.302001953125,0.03341275024414062,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5299926559,4555284,1,,,12986,1.62325,-0.011205208805459499,214.79620361328125,0.026849525451660156,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5300031791,4555374,1,,,13294,1.66175,0.027216057345425648,231.1671142578125,0.028895889282226563,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5300135907,4555464,1,,,13063,1.632875,-0.0017439211710803537,274.7994689941406,0.03434993362426758,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5300240570,4555554,1,,,13011,1.6263750000000001,-0.008445365406022143,181.63343811035156,0.022704179763793946,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5300345240,4555644,1,,,12965,1.620625,-0.014329841648900388,244.71121215820312,0.03058890151977539,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5300449910,4555734,1,,,13326,1.66575,0.030215229579501957,102.8436279296875,0.012855453491210938,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,5300490428,,,529836,1,,,,,,,,,,,,,,,,,,,,,-0.323974609375,-0.4544677734375,0.7457275390625,0.0,0.030534351145038167,0.06870229007633588,,,,6.0,3.0,20.0,0.25
emg,5300659251,4555914,1,,,13130,1.64125,0.0056591423944547525,281.5591125488281,0.03519488906860352,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5300763920,4556004,1,,,13166,1.64575,0.010055420809135462,202.32176208496094,0.025290220260620118,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5300856960,4556084,1,,,13088,1.6360000000000001,0.0003010818272197735,202.75027465820312,0.025343784332275392,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,5300970428,,,529884,1,,,,,,,,,,,,,,,,,,,,,-0.32373046875,-0.45458984375,0.747802734375,0.022900763358778626,0.022900763358778626,-0.007633587786259542,,,,6.0,3.0,20.0,0.25
imu,5301010433,,,529888,1,,,,,,,,,,,,,,,,,,,,,-0.32373046875,-0.4522705078125,0.747802734375,0.007633587786259542,-0.007633587786259542,0.030534351145038167,,,,6.0,3.0,20.0,0.25
emg,5301170994,4556354,1,,,12899,1.6123750000000001,-0.022175047474439102,262.26531982421875,0.03278316497802734,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5301275637,4556444,1,,,13003,1.625375,-0.008855125101753014,155.8651123046875,0.019483139038085937,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5301380307,4556534,1,,,13081,1.635125,0.0010302189337167977,168.4898223876953,0.021061227798461913,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5301484986,4556624,1,,,12709,1.588625,-0.04545908284969613,164.72708129882812,0.020590885162353516,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5301589646,4556714,1,,,12772,1.5965,-0.03764524299632299,239.81495666503906,0.029976869583129884,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5301694317,4556804,1,,,12718,1.58975,-0.04405504882470623,194.30975341796875,0.024288719177246093,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5301798990,4556894,1,,,12871,1.608875,-0.025216821362018083,224.507080078125,0.028063385009765626,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5301903660,4556984,1,,,12942,1.61775,-0.016023756132974576,284.60833740234375,0.03557604217529297,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302008960,4557074,1,,,13153,1.644125,0.01029441251497043,208.3512725830078,0.026043909072875977,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302113000,4557164,1,,,13076,1.6345,0.0004829990099874948,166.61976623535156,0.020827470779418947,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302217667,4557254,1,,,12982,1.6227500000000001,-0.011065119428040449,160.88902282714844,0.020111127853393557,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302322340,4557344,1,,,13092,1.6365,0.002511582782879662,161.72633361816406,0.02021579170227051,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302428741,4557435,1,,,13195,1.649375,0.015106922803338474,209.6710662841797,0.026208883285522462,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302532850,4557525,1,,,12984,1.623,-0.011799426699821813,131.74095153808594,0.01646761894226074,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302637508,4557615,1,,,13017,1.627125,-0.008054943023098282,331.8560485839844,0.04148200607299805,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302742183,4557705,1,,,13048,1.631,-0.004071288855357347,216.97445678710938,0.027121807098388673,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302847570,4557795,1,,,13612,1.7015,0.06611513317363582,326.528564453125,0.040816070556640625,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5302951541,4557885,1,,,13441,1.680125,0.044976810264298894,259.0903625488281,0.032386295318603514,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,5303050428,,,530092,1,,,,,,,,,,,,,,,,,,,,,-0.3184814453125,-0.45556640625,0.743896484375,-0.04580152671755725,-0.022900763358778626,-0.007633587786259542,,,,6.0,3.0,20.0,0.25
imu,5303090428,,,530096,1,,,,,,,,,,,,,,,,,,,,,-0.3236083984375,-0.456298828125,0.744873046875,-0.03816793893129771,-0.05343511450381679,0.022900763358778626,,,,6.0,3.0,20.0,0.25
emg,5303265539,4558155,1,,,13210,1.65125,0.016030098616311772,219.36373901367188,0.027420467376708984,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5303358879,4558235,1,,,13091,1.6363750000000001,0.0011542588389577002,128.29518127441406,0.016036897659301757,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5303463248,4558325,1,,,13277,1.6596250000000001,0.024754185033980747,234.03024291992188,0.029253780364990236,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,5303570433,,,530144,1,,,,,,,,,,,,,,,,,,,,,-0.3238525390625,-0.45556640625,0.7464599609375,-0.03816793893129771,-0.030534351145038167,0.015267175572519083,,,,6.0,3.0,20.0,0.25
emg,5303672591,4558505,1,,,13035,1.629375,-0.006728314366739374,198.59033203125,0.02482379150390625,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5303777831,4558595,1,,,13035,1.629375,-0.006942221331424969,227.4796142578125,0.028434951782226565,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,5303883095,4558686,1,,,12978,1.62225,-0.014260479484670796,261.0606689453125,0.03263258361816406,0.0,0.0,0.0,0.0,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
