device_timestamp_us,host_timestamp_utc,event_type,detector,state,envelope_voltage,marker_id,phase,trial,prescribed_intensity,message
6223336129,2026-09-17T09:06:07.721141+00:00,PHASE_MARKER,system,,,59,calibration_rest,0,,
6233413843,2026-09-17T09:06:17.797041+00:00,EMG_CALIBRATION_DONE,system,REST,0.014948117256164552,,,,,
6233431838,2026-09-17T09:06:17.856473+00:00,PHASE_MARKER,system,,,60,prepare,1,weak,
6236448909,2026-09-17T09:06:20.838795+00:00,PHASE_MARKER,system,,,61,contract,1,weak,
6236903400,2026-09-17T09:06:21.287951+00:00,CONTRACTION_START,fixed,ACTIVE,1.0163197021484376,,,,,
6236903419,2026-09-17T09:06:21.300893+00:00,CONTRACTION_START,adaptive,ACTIVE,1.0163197021484376,,,,,
6237555216,2026-09-17T09:06:21.936921+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.022513845443725585,,,,,
6237556448,2026-09-17T09:06:21.941188+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.021752031326293945,,,,,
6238536507,2026-09-17T09:06:22.926188+00:00,PHASE_MARKER,system,,,62,rest,1,weak,
6241519730,2026-09-17T09:06:25.922554+00:00,PHASE_MARKER,system,,,63,prepare,2,medium,
6244576392,2026-09-17T09:06:28.965106+00:00,PHASE_MARKER,system,,,64,contract,2,medium,
6245168207,2026-09-17T09:06:29.551091+00:00,CONTRACTION_START,fixed,ACTIVE,1.0752900390625,,,,,
6245168228,2026-09-17T09:06:29.571282+00:00,CONTRACTION_START,adaptive,ACTIVE,1.0752900390625,,,,,
6245842767,2026-09-17T09:06:30.230465+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.015818971633911133,,,,,
6245843389,2026-09-17T09:06:30.233801+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.014656158447265625,,,,,
6246586827,2026-09-17T09:06:30.974631+00:00,PHASE_MARKER,system,,,65,rest,2,medium,
6249573003,2026-09-17T09:06:33.961511+00:00,PHASE_MARKER,system,,,66,prepare,3,weak,
6252628726,2026-09-17T09:06:37.023695+00:00,PHASE_MARKER,system,,,67,contract,3,weak,
6253195255,2026-09-17T09:06:37.584693+00:00,CONTRACTION_START,fixed,ACTIVE,1.0357564697265624,,,,,
6253196474,2026-09-17T09:06:37.592653+00:00,CONTRACTION_START,adaptive,ACTIVE,1.03599365234375,,,,,
6254444332,2026-09-17T09:06:38.826294+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.027023336410522462,,,,,
6254635007,2026-09-17T09:06:39.025179+00:00,PHASE_MARKER,system,,,68,rest,3,weak,
6255744573,2026-09-17T09:06:40.126001+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.01871527290344238,,,,,
