record_type,timestamp_us,sample_index,emg_timer_gap,imu_sample_index,imu_timer_gap,ads_raw,ads_voltage,ac_voltage,envelope_raw,envelope_voltage,adaptive_on_voltage,adaptive_off_voltage,fixed_on_voltage,fixed_off_voltage,detector_state,leads,lo_minus,lo_plus,motion,fixed_active,adaptive_active,fixed_event,adaptive_event,fixed_release,adaptive_release,ax,ay,az,gx,gy,gz,phase,repetition,intensity,on_coefficient,off_coefficient,motion_gyro_dps,motion_accel_delta_g
emg,6223267227,5349214,1,,,13316,1.6645,0.020273692497233098,99.49443817138672,0.01243680477142334,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,REST,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6223371828,5349304,1,,,13159,1.644875,0.000822865886589641,83.84040832519531,0.010480051040649415,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6223476505,5349394,1,,,13280,1.6600000000000001,0.015912117971495388,108.22468566894531,0.013528085708618165,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6223581178,5349484,1,,,13003,1.625375,-0.018513003250212767,79.5973129272461,0.009949664115905761,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6223686418,5349574,1,,,13142,1.64275,-0.0010339866437887313,60.06315612792969,0.007507894515991211,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6223790529,5349664,1,,,13214,1.65175,0.007716057819386224,58.45826721191406,0.007307283401489258,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6223895185,5349754,1,,,13205,1.650625,0.006682727021490642,113.58460998535156,0.014198076248168946,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6223999857,5349844,1,,,13083,1.635375,-0.008945844542565196,122.66175842285156,0.015332719802856446,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6224105243,5349934,1,,,13071,1.633875,-0.010470583037033077,71.74209594726562,0.008967761993408204,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6224197605,5350014,1,,,13296,1.6620000000000001,0.0178591281943854,83.83892059326172,0.010479865074157714,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,6224280426,,,622014,1,,,,,,,,,,,,,,,,,,,,,-0.17724609375,-0.07666015625,0.9102783203125,0.007633587786259542,0.10687022900763359,0.05343511450381679,,,,6.0,3.0,20.0,0.25
emg,6224418535,5350204,1,,,13358,1.66975,0.02466459638604701,97.9530258178711,0.012244128227233886,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6224511581,5350284,1,,,13217,1.652125,0.006735731061118244,65.66608428955078,0.008208260536193848,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6224616556,5350374,1,,,13063,1.632875,-0.012752615539642909,159.6534423828125,0.019956680297851564,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6224720921,5350464,1,,,13016,1.627,-0.019079724751406957,109.43647766113281,0.013679559707641602,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,6224800431,,,622066,1,,,,,,,,,,,,,,,,,,,,,-0.17529296875,-0.0753173828125,0.9119873046875,-0.030534351145038167,0.09923664122137404,0.0916030534351145,,,,6.0,3.0,20.0,0.25
emg,6224933395,5350645,1,,,13311,1.663875,0.01776058070717812,76.20232391357422,0.009525290489196777,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225036110,5350735,1,,,13324,1.6655,0.019505547964257408,79.5567855834961,0.009944598197937011,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225140755,5350825,1,,,13189,1.648625,0.002291908133242204,98.71195220947266,0.012338994026184082,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225245428,5350915,1,,,13149,1.6436250000000001,-0.003099057453352927,90.817626953125,0.011352203369140626,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225350104,5351005,1,,,13171,1.6463750000000001,-0.0005679890058203352,70.28609466552734,0.008785761833190919,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225455131,5351095,1,,,13279,1.659875,0.012046168220016584,125.94878387451172,0.015743597984313965,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225559444,5351185,1,,,13396,1.6745,0.026251507244796857,101.81534576416016,0.01272691822052002,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225664110,5351275,1,,,13151,1.643875,-0.0047104470800767295,48.91808319091797,0.006114760398864746,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225768771,5351365,1,,,13111,1.638875,-0.00955527894749908,129.85450744628906,0.016231813430786134,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225873448,5351455,1,,,13039,1.629875,-0.018452582891302916,81.06553649902344,0.01013319206237793,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6225978144,5351545,1,,,13464,1.683,0.03483031946201409,125.2227783203125,0.015652847290039063,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6226082785,5351635,1,,,13215,1.651875,0.0038762175495650197,75.86990356445312,0.00948373794555664,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6226189781,5351726,1,,,13037,1.629625,-0.01814601861069276,112.92394256591797,0.014115492820739746,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6226293284,5351816,1,,,13165,1.6456250000000001,-0.0018841609466762055,97.93147277832031,0.01224143409729004,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,6226360426,,,622222,1,,,,,,,,,,,,,,,,,,,,,-0.1759033203125,-0.076904296875,0.90673828125,-0.030534351145038167,0.030534351145038167,0.07633587786259542,,,,6.0,3.0,20.0,0.25
emg,6226503794,5351997,1,,,13189,1.648625,0.0015329120213867231,80.45494079589844,0.010056867599487304,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6226608464,5352087,1,,,13118,1.63975,-0.007764040402223227,121.624267578125,0.015203033447265625,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6226701507,5352167,1,,,13140,1.6425,-0.005032470458432359,77.59193420410156,0.009698991775512696,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6226806756,5352257,1,,,13128,1.641,-0.0066969353875325766,88.60095977783203,0.011075119972229003,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,6226880429,,,622274,1,,,,,,,,,,,,,,,,,,,,,-0.176025390625,-0.07373046875,0.91259765625,-0.08396946564885496,0.07633587786259542,0.07633587786259542,,,,6.0,3.0,20.0,0.25
emg,6227027144,5352447,1,,,13199,1.649875,0.0012381446758746861,130.55206298828125,0.016319007873535157,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227120184,5352527,1,,,13398,1.67475,0.025169652127865927,152.5140380859375,0.019064254760742187,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227224860,5352617,1,,,13246,1.65575,0.005291491118825764,133.68954467773438,0.0167111930847168,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227329560,5352707,1,,,13095,1.636875,-0.013557397920922698,61.979793548583984,0.007747474193572999,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227434191,5352797,1,,,13334,1.66675,0.016673918014715072,103.95655822753906,0.012994569778442383,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227538862,5352887,1,,,13219,1.652375,0.0022411631468712834,70.2701644897461,0.008783770561218263,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227645271,5352978,1,,,13175,1.646875,-0.0038947149000905235,74.70536804199219,0.009338171005249024,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227750536,5353069,1,,,13296,1.6620000000000001,0.01089513477247439,125.25685119628906,0.015657106399536134,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227855200,5353159,1,,,13226,1.65325,0.0021585125511409675,120.71842956542969,0.015089803695678711,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6227959876,5353249,1,,,13098,1.63725,-0.012992484416706862,91.9184799194336,0.0114898099899292,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228065114,5353339,1,,,13072,1.6340000000000001,-0.015512981613095889,76.5152816772461,0.009564410209655762,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228169218,5353429,1,,,12988,1.6235,-0.024945089520215902,103.49998474121094,0.012937498092651368,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228273880,5353519,1,,,13148,1.6435,-0.003651936350516971,87.58008575439453,0.010947510719299317,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228378545,5353609,1,,,13197,1.6496250000000001,0.0033407932438778154,106.0263671875,0.0132532958984375,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228483220,5353699,1,,,13032,1.629,-0.016607081342812968,67.39710998535156,0.008424638748168945,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228587909,5353789,1,,,13050,1.63125,-0.013839206667817017,95.19703674316406,0.011899629592895509,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228692557,5353879,1,,,13073,1.634125,-0.01056512161836487,85.79728698730469,0.010724660873413085,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228797227,5353969,1,,,13264,1.6580000000000001,0.013469163544048701,76.98905944824219,0.009623632431030274,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6228903065,5354060,1,,,13100,1.6375,-0.007825194313995532,119.24515533447266,0.014905644416809083,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,6228960442,,,622482,1,,,,,,,,,,,,,,,,,,,,,-0.1689453125,-0.075439453125,0.9100341796875,-0.015267175572519083,0.08396946564885496,0.030534351145038167,,,,6.0,3.0,20.0,0.25
emg,6229113568,5354241,1,,,13218,1.65225,0.006273837858535858,68.75177001953125,0.008593971252441407,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6229218238,5354331,1,,,13124,1.6405,-0.005070223464897161,75.87486267089844,0.009484357833862304,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6229311276,5354411,1,,,12830,1.60375,-0.040254974849076364,175.8545379638672,0.021981817245483398,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
emg,6229416637,5354501,1,,,12999,1.624875,-0.015982477527936245,234.86346435546875,0.029357933044433595,0.13077943420410157,0.0772412567138672,0.135212890625,0.08000169372558594,CALIBRATING,0,0,0,0,False,False,False,False,False,False,,,,,,,,,,6.0,3.0,20.0,0.25
imu,6229480431,,,622534,1,,,,,,,,,,,,,,,,,,,,,-0.1790771484375,-0.0706787109375,0.9158935546875,1.1526717557251909,0.2748091603053435,0.32061068702290074,,,,6.0,3.0,20.0,0.25
